simnum,country,beta,indivs,vacc_dur,vacc_eff,sigma,epsilon,theta,description
389,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
390,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
391,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
392,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
393,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
394,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
395,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
396,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
397,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
398,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
399,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
400,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
401,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
402,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
403,usa,0.00012075,5000,10,0.95,0.4,0.1,0.5,comp5k_hi
404,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
405,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
406,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
407,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
408,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
409,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
410,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
411,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
412,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
413,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
414,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
415,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
416,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
417,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
418,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
419,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
420,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
421,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
422,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
423,usa,0.00012075,5000,10,0.75,0.4,0.1,0.1,vaxeff5k_lo
424,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
425,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
426,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
427,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
428,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
429,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
430,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
431,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
432,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
433,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
434,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
435,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
436,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
437,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
438,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
439,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
440,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
441,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
442,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
443,usa,0.00012075,5000,10,0.85,0.4,0.1,0.1,vaxeff5k_hi
